name,city,state,phone,website,source
Idaho Meat and Seafood,Nampa,ID,,,assoc:ID
Independent Meat Co.,Twin Falls,ID,,,assoc:ID
Intermountain Packaging,Idaho Falls,ID,,,assoc:ID
J-Bar Poultry Processing,New Plymouth,ID,,,assoc:ID
Lazy SB Cattle,King Hill,ID,,,assoc:ID
Lost River Meats,Mackay,ID,,,assoc:ID
Marshall's Meats,Winchester,ID,,,assoc:MT
Meridian Meat and Sausage,Meridian,ID,,,assoc:ID
Meridian Meat Packers,Meridian,ID,,,assoc:ID
Mickelsen Pack,Blackfoot,ID,,,assoc:ID
Mountain View Custom Meats,Coeur D'Alene,ID,,mountainviewcustommeats.com,assoc:MT
Mountain View Packaging,Boise,ID,,,assoc:ID
Northwest Premium Meats,Nampa,ID,,,assoc:ID
Oxford Packing,Downey,ID,,,assoc:ID
Quality Meats,Aberdeen,ID,,,assoc:ID
Rammell Valley Pack,Tetonia,ID,,,assoc:ID
Ridley's Family Markets,Twin Falls,ID,,,assoc:ID
Riverbend Meats,Idaho Falls,ID,,,assoc:ID
Scotty's Country Smokehouse,Idaho Falls,ID,,,assoc:ID
Smith Meat Company,Rigby,ID,,,assoc:ID
Sustainable Meats,Kuna,ID,,,assoc:ID
Targhee Brands,Rexburg,ID,,,assoc:ID
Terroir Butchery & Wine,Boise,ID,,,assoc:ID
Top Notch Jerky,Sugar City,ID,,,assoc:ID
True West Beef LLC,Jerome,ID,,,assoc:ID
University of Idaho Meats Lab,Moscow,ID,,,assoc:ID
Wood's Meat Processing,Sandpoint,ID,,,assoc:ID
440 Custom Meats & Market,,IL,217-452-3072,,assoc:IL
"AJ's Lena Maid Meats, INC",Lena,IL,815-369-4522,,assoc:IL
Allen's Farm Quality Meats,Homer,IL,217-896-2532,,assoc:IL
Alwan & Sons Meat Co.,Peoria,IL,309-688-8711,,assoc:IL
"Anichini Brothers, INC",Chicago,IL,312-644-8004,,assoc:IL
Arrow Farm Meats LLC,Rock City,IL,815-990-6040,,assoc:IL
Atlanta Locker,Atlanta,IL,217-648-2333,,assoc:IL
Bagley Farms Meat Market LLC,Edwardsville,IL,618-535-0103,,assoc:IL
Bartella Farm,,IL,773-656-7223,,assoc:IL
"Battaglia Distributing Co., INC",Chicago,IL,312-738-1111,,assoc:IL
"Behrmann Meat & Processing, INC",,IL,618-248-5151,,assoc:IL
Bittner's Eureka Locker,,IL,309-467-2731,,assoc:IL
"Blair's Slaughtering & Processing, INC",,IL,618-665-3124,,assoc:IL
Bloomington Meats,Bloomington,IL,309-828-9731,,assoc:IL
Bushnell Locker,Bushnell,IL,309-772-2783,,assoc:IL
"Calihan Pork Processors, INC",Peoria,IL,309-674-9175,,assoc:IL
"Corfu Foods, INC",Thomas Drive,IL,630-595-2510,,assoc:IL
Country Village Meats,Sublette,IL,815-849-5532,,assoc:IL
Cribelar Custom Processing,Martinsville,IL,217-251-8501,,assoc:IL
Das Schlacht Haus,,IL,217-543-5178,,assoc:IL
Dave's Meat Market,,IL,630-430-6606,,assoc:IL
"Dekalb County Packing Co., INC",,IL,815-756-1588,,assoc:IL
"Dreymiller and Kray, INC.",,IL,847-683-2271,,assoc:IL
"Dutch Valley Meats, INC",,IL,217-543-3354,,assoc:IL
"Echo Valley Meats, INC",Bartonville,IL,309-697-0083,,assoc:IL
"Ed Kabrick Beef, INC",Plainville,IL,217-656-3263,,assoc:IL
"Eickman's Processing Co., INC",Seward,IL,815-247-8451,,assoc:IL
Farmington Locker Plant,Farmington,IL,309-245-4621,,assoc:IL
FARMSTEAD,,IL,847-346-9513,,assoc:IL
Fred's Meat & Processing,Ashley,IL,618-485-6782,,assoc:IL
Frichtl Processing and Slaughtering,,IL,217-821-6643,,assoc:IL
Fritz Meat and Processing,,IL,618-498-3714,,assoc:IL
"Grantfork Meats, INC",Highland,IL,618-675-2156,,assoc:IL
"Halstead Packing House, INC",,IL,312-421-5147,,assoc:IL
Harbach Meats,Freeport,IL,815-232-7807,,assoc:IL
"Hartrich Meat, INC",Ste. Marie,IL,618-455-3172,,assoc:IL
Headon & Sons Inc.,Creston,IL,815-384-3620,,assoc:IL
Heinkel Packing Co. INC,Decatur,IL,217-428-4401,,assoc:IL
"Henry Kaminski, INC",Chicago,IL,773-254-4121,,assoc:IL
"Hilltop Butcher Shoppe, LLC",Tower Hill,IL,217-823-5709,,assoc:IL
Hofherr Meat Co.,Northfield,IL,847-441-6328,,assoc:IL
Hometown Butcher Shop,,IL,217-609-0226,,assoc:IL
Humphrey's Market,Springfield,IL,217-544-7445,,assoc:IL
"Inboden Meats, LTD",,IL,815-756-5852,,assoc:IL
"J&J Meat Processing, INC",Beecher City,IL,217-994-8114,,assoc:IL
Jiggy Jerky,,IL,480-840-4035,,assoc:IL
Jones Meat & Locker,,IL,217-243-1521,,assoc:IL
Korte Meat Processing,,IL,618-654-3813,,assoc:IL
KUNA Foodservice,Dupo,IL,800-700-4228,,assoc:IL
Leiding's Meats & Catering,,IL,,,assoc:IL
"Magro's Processing, INC",Springfield,IL,217-679-3161,,assoc:IL
Main Street Meat Company,Roscoe,IL,815-623-6328,,assoc:IL
McMahon Meats,Teutopolis,IL,217-813-6054,,assoc:IL
Meat Master Processing,Stockton,IL,815-947-9700,,assoc:IL
Mill Creek Processing,,IL,217-889-3363,,assoc:IL
Miller's Meat Market,Red Bud,IL,618-282-3334,,assoc:IL
Miller's Smokehouse,,IL,217-543-4199,,assoc:IL
Morgan's Meat Market,,IL,217-234-4949,,assoc:IL
Moweaqua Packing Plant,Moweaqua,IL,217-768-4714,,assoc:IL
Old Time Meat and Deli,Champaign,IL,217-355-0000,,assoc:IL
"Park Packing Co., INC",Chicago,IL,773-254-0100,,assoc:IL
Peoria Packing LTD,Chicago,IL,312-738-1800,,assoc:IL
Pike County Custom Meats,,IL,217-285-4446,,assoc:IL
"Pottstown Meat & Deli, INC",,IL,309-689-0601,,assoc:IL
Raber Packing Co.,West Peoria,IL,309-673-0721,,assoc:IL
Ream's Meat Market,Elburn,IL,630-365-6461,,assoc:IL
Reasons Locker Service,West,IL,309-537-3424,,assoc:IL
River Bend Wild Game & Sausage Co.,St. Joseph,IL,217-688-3337,,assoc:IL
Salt & Strings Butchery,North Church Street,IL,618-665-3151,,assoc:IL
Schneider's Quality Meats,,IL,618-939-5252,,assoc:IL
Schubert's Smokehouse,Millstadt,IL,618-476-1133,,assoc:IL
Sheffield Locker,Sheffield,IL,815-303-3036,,assoc:IL
Shirley Farms,,IL,618-987-2020,,assoc:IL
Slagel's Meats,Forrest,IL,815-848-9385,,assoc:IL
Smith's Custom Meats & Deer Processing,Viola,IL,309-596-2728,,assoc:IL
Spectrum Preferred Meats,S Forest Road,IL,815-946-3816,,assoc:IL
Steidinger Foods,Fairbury,IL,815-692-6036,,assoc:IL
"The Butcher Shop, LLC",Sterling,IL,815-632-3931,,assoc:IL
"Trenton Processing Center, INC",,IL,618-224-7383,,assoc:IL
Triple C Meats,East Vienna Street,IL,618-833-5986,,assoc:IL
"Troy Foods, INC",Troy,IL,618-667-6332,,assoc:IL
Turasky Meats,Springfield,IL,217-522-3345,,assoc:IL
Wenneman Meat Co.,St. Libory,IL,618-768-4328,,assoc:IL
Wesley 1895,,IL,815-973-6620,,assoc:IL
WP Meat Company LLC,Enfield,IL,618-963-2813,,assoc:IL
Wurst Kitchen,Aurora,IL,630-898-9242,,assoc:IL
4 Bar M Custom Meats dba Scobee Processing,Greencastle,IN,765-653-7119,,assoc:IN
Abe's Deer Processing,Underwood,IN,812-595-4297,,assoc:IN
Archer's Meats & Catering,Greenwood,IN,317-881-9300,,assoc:IN
Arni's Inc.,Lafayette,IN,765-742-7455,,assoc:IN
"Banter's Fresh Meats, LLC",Noblesville,IN,317-922-1080,,assoc:IN
Baraka Halal LLC,Remington,IN,708-673-5464,,assoc:IN
Beechy's Custom Meats,Shipshewana,IN,260-768-4081,,assoc:IN
Beutler Meats & Catering,Lafayette,IN,765-742-7285,,assoc:IN
Blocher Processing,North Manchester,IN,260-901-1685,,assoc:IN
Brewer Meats,North Vernon,IN,812-873-7494,,assoc:IN
Burlington Meats & Catering Inc.,Burlington,IN,765-566-3360,,assoc:IN
Butcher Bros. LLC,Rushville,IN,765-561-3130,,assoc:IN
CRS OneSource (Farm Boy Meats),Evansville,IN,812-425-5231,,assoc:IN
"Culver Duck Farms, Inc.",Middlebury,IN,574-561-9395,,assoc:IN
Custom Quality Meats,New Haven,IN,260-749-4100,,assoc:IN
D&D Meats,Corunna,IN,260-541-0365,,assoc:IN
"Dewig Bros. Packing Co., Inc",Haubstadt,IN,812-768-6208,,assoc:IN
Didier Meats LLC,Ft. Wayne,IN,260-482-8400,,assoc:IN
E & L Farms & Processing LLC,Grabill,IN,260-409-9868,,assoc:IN
"El Popular Sausage Factory, LLC",Valparaiso,IN,219-677-2064,,assoc:IN
Elston's Community Meats LLC,Cross Plains,IN,812-571-0170,,assoc:IN
Farmland Locker,Farmland,IN,765-468-6031,,assoc:IN
Fender 4 Star Meat Processing,Spencer,IN,812-829-3240,,assoc:IN
"Ferdinand Processing, Inc.",Ferdinand,IN,812-367-2073,,assoc:IN
First Capitol Meats,Corydon,IN,812-738-0175,,assoc:IN
Fisher Packing Co.,Portland,IN,260-726-7355,,assoc:IN
Gettinger Family Custom Meats,Rushville,IN,765-228-9946,,assoc:IN
Hallmark Custom Meats LLC,Wolcottville,IN,260-499-4889,,assoc:IN
Hanford Packing LLC,DeMotte,IN,219-345-3755,,assoc:IN
Harrison County M,Palmyra,IN,812-738-9347,,assoc:IN
Hilltop Custom Meats LLC,Economy,IN,765-886-5430,,assoc:IN
Hobart Meats,Crown Point,IN,219-942-5952,,assoc:IN
Holy Cow Farm Fresh LLC,Monon,IN,219-253-8491,,assoc:IN
Homestyle Butchering,Middlebury,IN,574-525-4602,,assoc:IN
Huber's Greensburg Locker,Greensburg,IN,812-663-7744,,assoc:IN
Integrity Meats,Churubusco,IN,260-693-0777,,assoc:IN
Jason's Meat Market,Winchester,IN,765-584-3940,,assoc:IN
"John's Butcher Shop, Inc.",Nappanee,IN,574-773-4632,,assoc:IN
Kenny Dewig Meats,Owensville,IN,812-724-2333,,assoc:IN
Knightstown Locker,Knightstown,IN,765-345-2410,,assoc:IN
Krider's Meat Processing,Columbia City,IN,260-248-8315,,assoc:IN
L-L Meats,Wolcottville,IN,260-854-2935,,assoc:IN
Ladoga Frozen Foods,Ladoga,IN,765-942-2225,,assoc:IN
Lengacher's Meats,Grabill,IN,260-627-8060,,assoc:IN
Lengerich Meats Inc.,Zanesville,IN,260-638-4123,,assoc:IN
Lighthouse Custom Meats,Bloomfield,IN,812-699-7132,,assoc:IN
M & M Fields Market,Geneva,IN,260-368-9409,,assoc:IN
"Manley Meats, Inc.",Decatur,IN,260-592-7313,,assoc:IN
Martin's Custom Butchering Inc.,Wakarusa,IN,574-862-2982,,assoc:IN
Merkley & Sons Inc.,Jasper,IN,812-482-7020,,assoc:IN
Michiana Meats LLC,Shipshewana,IN,260-768-7520,,assoc:IN
Midwest Kosher,South Bend,IN,574-855-1791,,assoc:IN
Miller's Deer Processing,Goshen,IN,574-312-0066,,assoc:IN
Miller's Smoke House,Middlebury,IN,574-825-2665,,assoc:IN
Monon Meat Packing & Catering,Monon,IN,219-253-6363,,assoc:IN
"Munsee Meats, Inc.",Muncie,IN,765-288-3645,,assoc:IN
Napoleon Locker Plant,Batesville,IN,812-852-4333,,assoc:IN
Newton Processing,Montgomery,IN,812-486-3227,,assoc:IN
O'Mara Foods,Greensburg,IN,,,assoc:IN
Odon Locker Inc.,Odon,IN,812-636-4242,,assoc:IN
Old Fashioned Butcher Shop,Evansville,IN,812-423-2465,,assoc:IN
Old Major LLC,Indianapolis,IN,317-710-2099,,assoc:IN
Oliver's Butcher Shop,Union City,IN,765-964-3920,,assoc:IN
Orange County Processing LLC,Orleans,IN,812-865-2028,,assoc:IN
Owen's Butcher Block,Mooresville,IN,317-494-3095,,assoc:IN
Pig Tail Charcuterie,Indianapolis,IN,317-516-5966,,assoc:IN
Prime Cut 41,Veedersburg,IN,765-636-4014,,assoc:IN
Project Ribeye,Valparaiso,IN,219-309-7979,,assoc:IN
Quality One Meats (Formerly Adair Processing),Pennville,IN,260-731-3221,,assoc:IN
Rice Quality Farm Meats Inc.,Spencer,IN,812-829-4562,,assoc:IN
Rihm Foods,Cambridge City,IN,765-478-3426,,assoc:IN
Royal Center Locker Plant Inc.,Royal Center,IN,574-643-3031,,assoc:IN
Sander Processing,Celestine,IN,812-481-0044,,assoc:IN
The Butcher Block Inc.,Lowell,IN,219-696-9111,,assoc:IN
"This Old Farm, Inc.",Darlington,IN,765-918-2684,,assoc:IN
Wabash Clay Custom Meats Inc.,Clay City,IN,812-939-3113,,assoc:IN
Winchester Custom Meats,Winchester,IN,765-305-0760,,assoc:IN
Wood Farms Premium Meats LLC,Ft. Wayne,IN,260-433-6878,,assoc:IN
WW Locker,Andrews,IN,260-344-3400,,assoc:IN
"Yoder's Meat & Cheese Co., Inc.",Shipshewana,IN,260-768-4715,,assoc:IN
Fanestil Meats,Emporia,KS,620-342-6354,,assoc:MO
Joe's Kansas City BBQ,Olathe,KS,913-764-5637,,assoc:MO
Krehbiels Specialty Meats,McPherson,KS,620-241-0103,,assoc:MO
"Appalachian Ag, LLC",Prestonsburg,KY,(606) 886-6003,,assoc:KY
"Appalachian Meats, LLC",West Liberty,KY,(606) 522-3142,,assoc:KY
"AW Farms, LLC (dba AW Meat House)",Argillite,KY,(606) 923-4034,,assoc:KY
"Bluegrass Lamb Company, LLC",Glendale,KY,(502) 565-8817,,assoc:KY
"Boone's Abattoir, Inc.",Bardstown,KY,(502) 348-3668,,assoc:KY
Boone's Butcher Shop,Bardstown,KY,502-348-3668,,assoc:KY
Broadbent B & B Foods,Kuttawa,KY,270-388-0609,,assoc:KY
"Brooksville Meat Fabrication Center, Inc.",Brooksville,KY,(606) 735-2250,,assoc:KY
Burnett Meats,Melber,KY,(270) 674-5975,,assoc:KY
"Central KY Custom Meats, Inc.",Liberty,KY,(606) 787-4851,,assoc:KY
"Detweiler Meats, LLC",Crofton,KY,(270) 424-6328,,assoc:KY
"Downing Cattle Company, Inc.",Fountain Run,KY,(270) 434-2559,,assoc:KY
"F.B. Purnell Sausage Company, LLC",Simpsonville,KY,(502) 722-5626,,assoc:KY
Farmstead Butcher Block,Central City,KY,270-220-4224,,assoc:KY
"Farmstead Butcher Block, LLC",Central City,KY,(301) 616-8433,,assoc:KY
Foothills Products & Service,Monticello,KY,(606) 340-0760,,assoc:KY
"Glier's Meats, Inc.",Covington,KY,859-291-1800,,assoc:KY
H&M Butchering,Manchester,KY,(606) 598-8332,,assoc:KY
Hampton Premium Meats,Hopkinsville,KY,(270) 847-0634,,assoc:KY
Harmon Brothers Meats,Warsaw,KY,(859) 567-1212,,assoc:KY
Hometown Butcher,Columbia,KY,(270) 384-4024,,assoc:KY
JBS Swift Pork Company,Louisville,KY,(502) 582-0011,,assoc:KY
"JSW Farm Chop Shop, Inc.",Hazel Green,KY,(606) 662-4121,,assoc:KY
Kirby & Poe Slaughterhouse,Alvaton,KY,(270) 843-1709,,assoc:KY
Livingston Meat Processing,Hopkinsville,KY,(270) 269-2333,,assoc:KY
Marksbury Farm Market,Lancaster,KY,(859) 548-2333,,assoc:KY
Moonlight Meat Processing,Williamsburg,KY,606-515-8813,,assoc:KY
Moonlight Meat Processing Inc.,Williamsburg,KY,(606) 515-8813,,assoc:KY
Palmer Farms Meats,Benton,KY,(270) 527-3821,,assoc:KY
"Patterson's Butcher Shop, LLC",Tompkinsville,KY,(270) 590-3448,,assoc:KY
Penn Country Hams,Mannsville,KY,270-465-5065,,assoc:KY
"Riverview Meat Company, LLC",Cynthiana,KY,(859) 234-4121,,assoc:KY
Spencer County Butcher Block,Taylorsville,KY,(502) 354-0168,,assoc:KY
Summit Meat Processing,Science Hill,KY,(606) 423-9369,,assoc:KY
Trackside Butcher Shoppe,Campbellsburg,KY,(502) 532-3015,,assoc:KY
"Two Rivers Fisheries, Inc.",Wickliffe,KY,270-335-5488,,assoc:KY
Uncle Charlie's Meats,Richmond,KY,859-623-1967,,assoc:KY
University of Kentucky Animal Science Meat Lab,Lexington,KY,(859) 257-5854,,assoc:KY
Wise Meat Packing,Campbellsville,KY,(270) 465-8464,,assoc:KY
Bellevue Meat Processing Plant,Haughton,LA,318-949-3794,,assoc:LA
C. Hebert's Slaughterhouse & Market,Abbeville,LA,337-893-5688,,assoc:LA
Coastal Plains Meat Company,Eunice,LA,337-466-7341,,assoc:LA
Elliott's Slaughterhouse,Morse,LA,337-783-5240,,assoc:LA
GLC Processing,Abbeville,LA,337-519-7848,,assoc:LA
Kirk Martin Slaughterhouse,Carencro,LA,337-896-8223,,assoc:LA
Louisiana Tech Meat Lab,Ruston,LA,318-257-4220,,assoc:LA
LSU Slaughterhouse,Baton Rouge,LA,225-578-3439,,assoc:LA
"McCain Farms, Inc.",Calhoun,LA,318-644-2677,,assoc:LA
Normand Meat Plant,Marksville,LA,318-253-7614,,assoc:LA
Parish Meat Processing,Sibley,LA,318-545-5808,,assoc:LA
Roucher's Meat Supply,Plaquemine,LA,225-687-4258,,assoc:LA
Southern University Meat Processing,Baton Rouge,LA,225-771-2103,,assoc:LA
T-Boy's Slaughterhouse Meat Market & Grocery,Ville Platte,LA,337-468-3333,,assoc:LA
Voiron's Abattoir LLC,Greensburg,LA,504-430-0268,,assoc:LA
Adams Farm Slaughterhouse,Athol,MA,978-249-9441,,assoc:MA
E. L. Blood & Son,West Groton,MA,978-448-6669,,assoc:MA
Ed Stearns,Charlton,MA,508-248-7866,,assoc:MA
J. Impaoco,Feeding Hills,MA,413-786-8167,,assoc:MA
"A & W Country Meats, Inc.",Taneytown,MD,(410) 756-2420,,assoc:MD
Amick Farms,Hurlock,MD,(410) 943-3989,,assoc:MD
Aufschnitt Meats LLC,Owings Mills,MD,(443) 990-6007,,assoc:MD
"Binkert's Meat Products, LLC",Baltimore,MD,(410) 687-5959,,assoc:MD
Bowman's Butcher Shop,Aberdeen,MD,(410) 914-5607,bowmansbutchershop.grazecart.com,assoc:MD
Buckhead Meat & Seafood Mid-Atlantic Inc.,Landover,MD,(301) 772-0060,,assoc:MD
Bullocks Country Meats & Farm Market,Westminster,MD,(410) 848-6786,bullockscountrymeats.com,assoc:MD
"C & C Meat Sales, Inc.",Upper Marlboro,MD,(301) 249-8800,,assoc:MD
Caribbean Crescent Inc.,Baltimore,MD,(410) 636-3002,,assoc:MD
"Casi di Pasta, Inc.",Baltimore,MD,(410) 539-5383,,assoc:MD
Dave's Seafood Meat & Poultry,Baltimore,MD,(202) 247-1222,,assoc:MD
Deli Brands of America,Baltimore,MD,(410) 276-2373,,assoc:MD
"Dietz & Watson, Inc.",Baltimore,MD,(410) 664-7400,,assoc:MD
East West LLC,Landover,MD,(202) 547-3101,,assoc:MD
Farm 2 Table Meats LLC (The Butcher Block),Oakland,MD,(301) 334-4140,,assoc:MD
Fresh Creative Cuisine,Baltimore,MD,(410) 294-7978,,assoc:MD
Galvinell Meat Company,Conowingo,MD,(410) 378-3032,galvinell.com,assoc:MD
"Greise Brothers Packing, Inc.",Cumberland,MD,(240) 362-2826,,assoc:MD
Hahn Bros. Inc.,Westminster,MD,(410) 848-4200,,assoc:MD
Halpern's Steak and Seafood,Baltimore,MD,(410) 539-7055,,assoc:MD
"Hamzah Slaughter House, LLC",Williamsport,MD,(301) 223-8651,hamzahslaughterhouse.com,assoc:MD
Hartman Enterprises Inc.,Hyattsville,MD,(301) 458-8788,,assoc:MD
Hearn Kirkwood / Food Unlimited,Jessup,MD,(410) 799-4444,,assoc:MD
Hemp's Inc.,Jefferson,MD,(301) 473-5700,hempsmeat.com,assoc:MD
Hillside Turkey Farm,Thurmont,MD,(301) 271-2728,,assoc:MD
Hoffman's Quality Meats,Hagerstown,MD,(301) 739-2332,hoffmanmeats.com,assoc:MD
Hong Ha Corporation,Hyattsville,MD,(301) 322-1916,,assoc:MD
Horst Meats,Hagerstown,MD,(301) 733-1089,,assoc:MD
"Ihsan Farms, LLC",Princess Anne,MD,(410) 548-1728,,assoc:MD
"Impero Foods & Meats, Inc.",Baltimore,MD,(410) 732-8488,,assoc:MD
"Island Bwoy Cuisine, LLC",Temple Hills,MD,(301) 801-1719,,assoc:MD
"J. W. Treuth & Sons, Inc.",Catonsville,MD,(410) 465-4650,jwtreuth.com,assoc:MD
"JD's House of Bacon, Inc.",Baltimore,MD,(443) 399-3940,,assoc:MD
La Pasta Inc.,Silver Spring,MD,(301) 588-1111,,assoc:MD
Latin Goodness Foods,Rockville,MD,(301) 366-7801,,assoc:MD
"Locust Point Farms, LLC",Elkton,MD,(410) 398-8765,locustpointfarm.eatfromfarms.com,assoc:MD
Manger Packing Corp.,Baltimore,MD,(410) 233-0126,,assoc:MD
"Maryland Kosher Foods, LLC",Baltimore,MD,(773) 454-0912,,assoc:MD
Maryland Packaging LTD,Halethorpe,MD,(410) 540-9700,,assoc:MD
Old Line Custom Meat Company LLC,Baltimore,MD,(410) 962-5530,,assoc:MD
Ostrowski's of Bank St.,Baltimore,MD,(410) 732-1118,,assoc:MD
P & F Meat Market,Landover,MD,(301) 946-4015,,assoc:MD
Protenergy-Bay Valley Foods,Cambridge,MD,(410) 901-8625,,assoc:MD
RC Acquisition LLC (Roma Sausage Company),Baltimore,MD,(410) 627-0786,,assoc:MD
Reliant Fish Co.,Jessup,MD,(410) 799-7555,,assoc:MD
Rocko Meats,Thurmont,MD,(301) 271-7030,,assoc:MD
Saval Foods Corporation,Baltimore,MD,(410) 276-2373,,assoc:MD
"Sea Watch International, Ltd",Easton,MD,(410) 822-7500,,assoc:MD
Shriver Meats,Emmitsburg,MD,(301) 447-2255,,assoc:MD
"Shuff Meat, Inc.",Thurmont,MD,(301) 271-2231,,assoc:MD
Stanley Pearlman Enterprise,Jessup,MD,(410) 799-8626,,assoc:MD
"State Street Poultry & Provisions, LLC",Baltimore,MD,(410) 233-7200,,assoc:MD
Sudlersville Frozen Meat Locker,Sudlersville,MD,(410) 438-310,sudlersvillemeats.com,assoc:MD
"Superior Sausage, LLC",District Heights,MD,(571) 249-6167,,assoc:MD
"Toluca Mexican Style Food Products, LLC",Baltimore,MD,(410) 685-7779,,assoc:MD
Vace Inc.,Gaithersburg,MD,(301) 926-2414,,assoc:MD
"Wagner Meats, LLC",Mount Airy,MD,(301) 829-0500,wagnersmeats.com,assoc:MD
"Working H. Meats, LLC",Friendsville,MD,(304) 789-2225,workinghmeats.com,assoc:MD
A Small Good,Rockport,ME,(413) 207-4745,,assoc:ME
"BAFS, Inc.",Bangor,ME,(207) 942-5227,,assoc:ME
Caldwell Farms,Turner,ME,(207) 754-3871,,assoc:ME
Cluck Ya Poultry,Gardiner,ME,(207) 776-8017,,assoc:ME
Colvard and Company Sausage,Ellsworth,ME,802-578-9016,,assoc:ME
Curtis Custom Meat,Warren,ME,(207) 273-2574,,assoc:ME
E. W. Mailhot Sausage Co.,Lewiston,ME,(207) 786-2454,,assoc:ME
Farmer's Gate Market,Leeds,ME,(207) 933-3300,,assoc:ME
Good to Go Foods,Kittery,ME,(207) 451-9060,,assoc:ME
Hatch's Custom Meat Cutting,Crystal,ME,207-441-4023,,assoc:ME
Herring Brothers Inc.,Guilford,ME,(207) 876-2631,,assoc:ME
"KJPL Restaurants, Inc.",Greene,ME,(207) 946-3354,,assoc:ME
L.P. Bisson and Sons,Topsham,ME,207-725-7215,,assoc:ME
Luce's Maine Grown Meats,North Anson,ME,(207) 635-2041,,assoc:ME
Maple Lane Farms,Charleston,ME,207-285-3591,,assoc:ME
"Modernist Pantry, LLC",Eliot,ME,(207) 200-3817,,assoc:ME
Moosehead Meats,Smyrna,ME,(207) 757-7028,,assoc:ME
Olde Haven Farm,Chelsea,ME,207-620-0917,,assoc:ME
Pineland Farms Natural Meats,New Gloucester,ME,(207) 688-4808,,assoc:ME
Portable Pie Place,Searsport,ME,(207) 548-4070,,assoc:ME
Sanford Butcher Shop,Sanford,ME,(603) 341-1380,,assoc:ME
Shields Meat & Produce Inc.,Kennebunk,ME,(207) 985-3141,,assoc:ME
Short Creek Meats,Kennebunk,ME,(401) 864-9627,,assoc:ME
Smith's Log Smokehouse,Monroe,ME,(207) 525-7735,,assoc:ME
The Sausage Kitchen,Lisbon Falls,ME,(207) 353-5503,,assoc:ME
Theriaults Abattoir Inc,Hamlin,ME,(207) 868-2875,,assoc:ME
Tide Mill Organic Farm,Edmunds Twp.,ME,(207) 733-2551,,assoc:ME
Tyson Foods - Barber Foods,Portland,ME,(207) 541-2800,,assoc:ME
Vaillancourt Inspection Inc.,Van Buren,ME,(207) 868-2113,,assoc:ME
"W. A. Bean & Sons, Inc.",Bangor,ME,(207) 947-0364,,assoc:ME
West Gardiner Beef,West Gardiner,ME,207-724-3378,,assoc:ME
Weston's Meat Cutting,West Gardiner,ME,(207) 724-2027,,assoc:ME
Windham Butcher Shop,Windham,ME,(207) 892-4203,,assoc:ME
Butternut Ridge Meatery & Market,Bronson,MI,517-410-6614,,assoc:MI
2ND AVE SAUSAGE COMPANY,Kasson,MN,(507) 273-0187,,assoc:MN
3 HMONG SAUSAGE,St. Paul,MN,(651) 307-2901,,assoc:MN
AL's BUTCHERS BLEND,Perham,MN,(218) 346-4015,,assoc:MN
Amor Pork,Battle Lake,MN,218-205-4520,https://amorpork.com/,assoc:MN
ANOKA MEAT & SAUSAGE,Anoka,MN,763-421-5580,https://www.anokameats.com/,assoc:MN
B & E MEATS,Crookston,MN,(218) 289-0916,,assoc:MN
B & T Meats,Waubun,MN,218-849-8684,https://www.btmeats.com/home,assoc:MN
BACKUS LOCKER,Backus,MN,(218) 947-4220,,assoc:MN
BEAR COUNTRY MEATS LLC,Kasson,MN,(507) 951-6535,,assoc:MN
BELGRADE MEAT CENTER INC,Belgrade,MN,(320) 254-8287,,assoc:MN
BEMIDJI DOWNTOWN MEATS,Bemidji,MN,(218) 751-5011,,assoc:MN
Bergen Meat Processors,Windom,MN,507-831-4670,https://www.bergenmeats.com/about.html,assoc:MN
BIG STEER MEATS,St Paul,MN,(651) 738-3636,,assoc:MN
Black & Sons Butcher Co. LLC,Winona,MN,507-458-1941,,assoc:WI
BLONDIES BUTCHER SHOP,Wanamingo,MN,(507) 824-2279,,assoc:MN
BLUE EARTH LOCKER,Amboy,MN,(507) 382-1440,,assoc:MN
BORCHERT's MEAT MARKET,Maplewood,MN,(651) 777-9133,,assoc:MN
BUTCHER BLOCK MEATS,Dilworth,MN,701-809-8458,https://www.butcherblockmeatsllc.com/,assoc:MN
CALLAHAN MEATS,Barnesville,MN,701-306-6636,https://callahanmeats.com/,assoc:MN
CANBY MEAT CENTER,Canby,MN,507-223-5292,https://canbymeatcenter.com/,assoc:MN
CARLSON MEAT SHOP,Grove City,MN,(320) 857-2261,,assoc:MN
CENTER CUT MEATS,Rogers,MN,(763) 428-9797,,assoc:MN
CHRIS FOOD CENTER,Sandstone,MN,(320) 245-2229,,assoc:MN
CITY MEAT MARKET,Brownton,MN,(320) 328-4411,,assoc:MN
CLEAN CHICKENS AND CO LLC,Elk River,MN,(218) 308-1752,,assoc:MN
CONGER MEAT MARKET,Conger,MN,(507) 265-3340,,assoc:MN
COUNTRY BUTCHER SHOP,Easton,MN,(507) 525-1851,,assoc:MN
D&T's MEAT MARKET,Pipestone,MN,(507) 825-3914,,assoc:MN
DEHMER's MEATS INC.,St. Michael,MN,(763) 497-2455,,assoc:MN
DENNISON MEAT LOCKER LLC,Dennison,MN,(507) 645-8734,,assoc:MN
DOMBROVSKI MEAT CO,Foley,MN,(320) 968-6275,,assoc:MN
DOUBLE D's CUSTOM PROCESSING,Aitkin,MN,218-928-8150,,assoc:MN
